matrix_size,task1_cnt,task2_cnt,mode,cache-misses,total_time,epoch
1000,12,10,bujunheng,17622432,56.937780172,7
1000,12,10,junheng,11806270,55.068663025,7
1000,20,10,bujunheng,27266761,93.642920041,7
1000,20,10,junheng,18318258,73.045307801,7
10,10,6,bujunheng,57276,0.002164219,8
10,10,6,junheng,51980,0.002313206,8
10,12,10,bujunheng,68512,0.001626991,8
10,12,10,junheng,55417,0.002084513,8
10,20,10,bujunheng,68552,0.001957706,8
10,20,10,junheng,68181,0.001647838,8
100,10,6,bujunheng,130366,0.111812230,8
100,10,6,junheng,96212,0.066143772,8
100,12,10,bujunheng,91107,0.078431565,8
100,12,10,junheng,143341,0.103869012,8
100,20,10,bujunheng,107681,0.136936546,8
100,20,10,junheng,144371,0.134950418,8
1000,10,6,bujunheng,7753741,49.405533628,8
1000,10,6,junheng,9573361,40.427129180,8
1000,12,10,bujunheng,11667678,59.616176246,8
1000,12,10,junheng,11401313,53.505221148,8
1000,20,10,bujunheng,19766158,96.019833412,8
1000,20,10,junheng,25996990,71.840155222,8
10,10,6,bujunheng,47585,0.002303052,9
10,10,6,junheng,52350,0.002448181,9
10,12,10,bujunheng,46585,0.002522293,9
10,12,10,junheng,66518,0.001721321,9
10,20,10,bujunheng,46239,0.002576967,9
10,20,10,junheng,54222,0.002110710,9
100,10,6,bujunheng,110370,0.096142319,9
100,10,6,junheng,119966,0.074340197,9
100,12,10,bujunheng,107004,0.095015582,9
100,12,10,junheng,106504,0.085078258,9
100,20,10,bujunheng,114297,0.137086027,9
100,20,10,junheng,180378,0.153621968,9
1000,10,6,bujunheng,14743568,46.855342148,9
1000,10,6,junheng,12748159,39.956767652,9
1000,12,10,bujunheng,14441467,58.520782550,9
1000,12,10,junheng,14276980,55.226276529,9
1000,20,10,bujunheng,23553931,99.071913227,9
1000,20,10,junheng,24618626,71.258344795,9
10,10,6,bujunheng,47929,0.002411274,10
10,10,6,junheng,53318,0.002503766,10
10,12,10,bujunheng,68763,0.001650807,10
10,12,10,junheng,67469,0.001805473,10
10,20,10,bujunheng,48073,0.002455731,10
10,20,10,junheng,53811,0.002491197,10
100,10,6,bujunheng,107788,0.088081594,10
100,10,6,junheng,133577,0.096925495,10
100,12,10,bujunheng,110074,0.088765500,10
100,12,10,junheng,101634,0.082726406,10
100,20,10,bujunheng,128868,0.160230619,10
100,20,10,junheng,122185,0.127705457,10
1000,10,6,bujunheng,13749106,49.719553221,10
1000,10,6,junheng,12366072,39.175872812,10
1000,12,10,bujunheng,17582481,57.392454069,10
1000,12,10,junheng,15983390,54.636046716,10
1000,20,10,bujunheng,24160112,98.759062997,10
1000,20,10,junheng,19973270,75.571417209,10
